Dia;S;I;R;T
0;0.5;0.3;0.2;1.0
1;0.516838061;0.286961777;0.196200162;1.0
2;0.533044185;0.274551836;0.192403979;1.0
3;0.548648667;0.262734235;0.188617097;1.0
4;0.563679794;0.251475599;0.184844607;1.0
5;0.578164012;0.240744887;0.181091101;1.0
6;0.592126088;0.230513196;0.177360717;1.0
7;0.605589248;0.220753572;0.17365718;1.0
8;0.618575305;0.211440853;0.169983842;1.0
9;0.631104772;0.202551515;0.166343713;1.0
10;0.643196964;0.194063545;0.162739491;1.0
11;0.654870093;0.185956319;0.159173589;1.0
12;0.66614135;0.17821049;0.15564816;1.0
13;0.677026984;0.170807899;0.152165118;1.0
14;0.687542368;0.163731475;0.148726157;1.0
15;0.697702065;0.156965164;0.145332771;1.0
16;0.707519885;0.150493846;0.141986269;1.0
17;0.717008936;0.144303275;0.138687788;1.0
18;0.726181674;0.138380015;0.135438311;1.0
19;0.735049945;0.13271138;0.132238675;1.0
20;0.743625028;0.12728539;0.129089582;1.0
21;0.751917668;0.122090718;0.125991615;1.0
22;0.759938113;0.117116646;0.122945241;1.0
23;0.767696145;0.112353033;0.119950823;1.0
24;0.775201107;0.107790266;0.117008627;1.0
25;0.782461931;0.103419238;0.114118831;1.0
26;0.789487162;0.099231308;0.11128153;1.0
27;0.796284981;0.095218278;0.108496741;1.0
28;0.802863224;0.091372361;0.105764415;1.0
29;0.809229404;0.087686162;0.103084434;1.0
30;0.815390727;0.084152649;0.100456624;1.0
31;0.82135411;0.080765137;0.097880753;1.0
32;0.827126195;0.077517264;0.095356541;1.0
33;0.832713366;0.074402974;0.09288366;1.0
34;0.838121758;0.071416503;0.090461739;1.0
35;0.843357275;0.068552356;0.088090369;1.0
36;0.848425595;0.065805299;0.085769106;1.0
37;0.85333219;0.06317034;0.083497471;1.0
38;0.858082325;0.060642719;0.081274956;1.0
39;0.862681077;0.058217894;0.079101028;1.0
40;0.86713334;0.055891533;0.076975127;1.0
41;0.871443832;0.053659495;0.074896672;1.0
42;0.875617106;0.051517831;0.072865063;1.0
43;0.879657555;0.049462766;0.070879679;1.0
44;0.883569419;0.047490693;0.068939888;1.0
45;0.887356795;0.045598166;0.06704504;1.0
46;0.891023636;0.043781889;0.065194475;1.0
47;0.894573767;0.042038711;0.063387522;1.0
48;0.898010879;0.04036562;0.061623501;1.0
49;0.901338543;0.038759733;0.059901724;1.0
50;0.904560213;0.037218291;0.058221496;1.0
51;0.907679225;0.035738655;0.05658212;1.0
52;0.91069881;0.034318298;0.054982892;1.0
53;0.913622091;0.032954801;0.053423108;1.0
54;0.916452093;0.031645848;0.051902058;1.0
55;0.919191741;0.030389222;0.050419037;1.0
56;0.921843868;0.029182797;0.048973336;1.0
57;0.924411214;0.028024538;0.047564248;1.0
58;0.926896436;0.026912495;0.046191069;1.0
59;0.929302103;0.0258448;0.044853097;1.0
60;0.931630705;0.024819663;0.043549632;1.0
61;0.933884654;0.023835366;0.04227998;1.0
62;0.936066285;0.022890265;0.04104345;1.0
63;0.938177861;0.021982783;0.039839356;1.0
64;0.940221574;0.021111407;0.038667019;1.0
65;0.942199549;0.020274688;0.037525764;1.0
66;0.944113843;0.019471235;0.036414923;1.0
67;0.945966451;0.018699714;0.035333836;1.0
68;0.947759305;0.017958847;0.034281848;1.0
69;0.949494279;0.017247406;0.033258315;1.0
70;0.951173188;0.016564216;0.032262596;1.0
71;0.952797791;0.015908147;0.031294063;1.0
72;0.954369793;0.015278115;0.030352092;1.0
73;0.955890848;0.014673083;0.02943607;1.0
74;0.957362556;0.014092051;0.028545392;1.0
75;0.958786472;0.013534065;0.027679463;1.0
76;0.9601641;0.012998205;0.026837695;1.0
77;0.9614969;0.01248359;0.02601951;1.0
78;0.962786285;0.011989375;0.025224341;1.0
79;0.964033627;0.011514747;0.024451627;1.0
80;0.965240254;0.011058928;0.023700818;1.0
81;0.966407454;0.01062117;0.022971376;1.0
82;0.967536477;0.010200755;0.022262767;1.0
83;0.968628533;0.009796995;0.021574473;1.0
84;0.969684793;0.009409226;0.02090598;1.0
85;0.970706397;0.009036816;0.020256787;1.0
86;0.971694446;0.008679153;0.019626401;1.0
87;0.972650007;0.008335653;0.019014339;1.0
88;0.973574118;0.008005754;0.018420128;1.0
89;0.97446778;0.007688916;0.017843304;1.0
90;0.975331967;0.007384622;0.017283411;1.0
91;0.976167622;0.007092374;0.016740004;1.0
92;0.976975657;0.006811694;0.016212649;1.0
93;0.977756959;0.006542124;0.015700917;1.0
94;0.978512384;0.006283224;0.015204391;1.0
95;0.979242766;0.006034571;0.014722663;1.0
96;0.979948908;0.005795759;0.014255333;1.0
97;0.980631592;0.005566399;0.01380201;1.0
98;0.981291573;0.005346115;0.013362312;1.0
99;0.981929586;0.005134549;0.012935865;1.0
100;0.982546339;0.004931355;0.012522306;1.0
101;0.983142522;0.004736201;0.012121277;1.0
102;0.983718799;0.004548771;0.01173243;1.0
103;0.984275817;0.004368757;0.011355426;1.0
104;0.984814201;0.004195866;0.010989933;1.0
105;0.985334558;0.004029816;0.010635626;1.0
106;0.985837473;0.003870337;0.010292191;1.0
107;0.986323515;0.003717168;0.009959317;1.0
108;0.986793234;0.00357006;0.009636706;1.0
109;0.987247165;0.003428773;0.009324063;1.0
110;0.987685822;0.003293076;0.009021102;1.0
111;0.988109707;0.003162748;0.008727545;1.0
112;0.988519303;0.003037578;0.008443119;1.0
113;0.988915079;0.00291736;0.008167561;1.0
114;0.98929749;0.002801899;0.007900611;1.0
115;0.989666974;0.002691006;0.007642019;1.0
116;0.990023958;0.002584502;0.00739154;1.0
117;0.990368854;0.002482212;0.007148934;1.0
118;0.99070206;0.002383969;0.006913971;1.0
119;0.991023963;0.002289614;0.006686423;1.0
120;0.991334937;0.002198992;0.006466071;1.0
121;0.991635343;0.002111956;0.0062527;1.0
122;0.991925532;0.002028365;0.006046103;1.0
123;0.992205843;0.001948081;0.005846076;1.0
124;0.992476604;0.001870974;0.005652422;1.0
125;0.992738133;0.001796918;0.005464949;1.0
126;0.992990737;0.001725793;0.00528347;1.0
127;0.993234713;0.001657482;0.005107805;1.0
128;0.993470349;0.001591875;0.004937776;1.0
129;0.993697924;0.001528864;0.004773212;1.0
130;0.993917708;0.001468347;0.004613946;1.0
131;0.99412996;0.001410224;0.004459815;1.0
132;0.994334934;0.001354402;0.004310664;1.0
133;0.994532874;0.001300789;0.004166338;1.0
134;0.994724014;0.001249297;0.004026688;1.0
135;0.994908585;0.001199844;0.003891571;1.0
136;0.995086807;0.001152347;0.003760846;1.0
137;0.995258893;0.001106731;0.003634376;1.0
138;0.995425051;0.001062919;0.00351203;1.0
139;0.99558548;0.001020842;0.003393678;1.0
140;0.995740374;9.8043E-4;0.003279196;1.0
141;0.99588992;9.41618E-4;0.003168462;1.0
142;0.996034299;9.04341E-4;0.00306136;1.0
143;0.996173685;8.68541E-4;0.002957775;1.0
144;0.996308248;8.34157E-4;0.002857595;1.0
145;0.996438152;8.01134E-4;0.002760715;1.0
146;0.996563554;7.69418E-4;0.002667028;1.0
147;0.996684608;7.38957E-4;0.002576435;1.0
148;0.996801462;7.09703E-4;0.002488836;1.0
149;0.996914258;6.81606E-4;0.002404137;1.0
150;0.997023134;6.54621E-4;0.002322245;1.0
151;0.997128225;6.28705E-4;0.00224307;1.0
152;0.99722966;6.03814E-4;0.002166526;1.0
153;0.997327563;5.79908E-4;0.002092528;1.0
154;0.997422056;5.56949E-4;0.002020995;1.0
155;0.997513254;5.34899E-4;0.001951847;1.0
156;0.997601271;5.13722E-4;0.001885007;1.0
157;0.997686216;4.93383E-4;0.001820402;1.0
158;0.997768193;4.73849E-4;0.001757958;1.0
159;0.997847306;4.55088E-4;0.001697606;1.0
160;0.997923652;4.3707E-4;0.001639278;1.0
161;0.997997326;4.19765E-4;0.001582908;1.0
162;0.998068421;4.03146E-4;0.001528433;1.0
163;0.998137025;3.87184E-4;0.001475791;1.0
164;0.998203224;3.71854E-4;0.001424922;1.0
165;0.998267101;3.57131E-4;0.001375768;1.0
166;0.998328736;3.42991E-4;0.001328273;1.0
167;0.998388207;3.29411E-4;0.001282383;1.0
168;0.998445587;3.16368E-4;0.001238045;1.0
169;0.998500951;3.03842E-4;0.001195207;1.0
170;0.998554367;2.91811E-4;0.001153822;1.0
171;0.998605903;2.80257E-4;0.00111384;1.0
172;0.998655623;2.69161E-4;0.001075216;1.0
173;0.998703592;2.58503E-4;0.001037905;1.0
174;0.99874987;2.48268E-4;0.001001862;1.0
175;0.998794515;2.38438E-4;9.67048E-4;1.0
176;0.998837584;2.28997E-4;9.33419E-4;1.0
177;0.998879133;2.19929E-4;9.00938E-4;1.0
178;0.998919213;2.11221E-4;8.69566E-4;1.0
179;0.998957877;2.02858E-4;8.39265E-4;1.0
180;0.998995173;1.94825E-4;8.10001E-4;1.0
181;0.999031149;1.87111E-4;7.81739E-4;1.0
182;0.999065852;1.79702E-4;7.54446E-4;1.0
183;0.999099325;1.72587E-4;7.28088E-4;1.0
184;0.999131612;1.65753E-4;7.02635E-4;1.0
185;0.999162755;1.5919E-4;6.78056E-4;1.0
186;0.999192792;1.52886E-4;6.54322E-4;1.0
187;0.999221763;1.46833E-4;6.31404E-4;1.0
188;0.999249706;1.41018E-4;6.09276E-4;1.0
189;0.999276656;1.35435E-4;5.8791E-4;1.0
190;0.999302647;1.30072E-4;5.67281E-4;1.0
191;0.999327715;1.24921E-4;5.47364E-4;1.0
192;0.999351891;1.19975E-4;5.28135E-4;1.0
193;0.999375206;1.15224E-4;5.0957E-4;1.0
194;0.999397691;1.10662E-4;4.91648E-4;1.0
195;0.999419374;1.0628E-4;4.74346E-4;1.0
196;0.999440285;1.02071E-4;4.57644E-4;1.0
197;0.99946045;9.803E-5;4.4152E-4;1.0
198;0.999479896;9.4148E-5;4.25956E-4;1.0
199;0.999498648;9.042E-5;4.10932E-4;1.0
200;0.99951673;8.6839E-5;3.9643E-4;1.0
